Name,Classification,DIAMETER,Direction,HUB_THICKNESS,MODEL,PITCH,Performance_File,SHAFT_DIAMETER,Weight
apc_propellers_9_5x6,Propeller,241.3,1,12.19,apc_propellers_9_5x6,152.4,PER3_95x6.dat,6.35,0.026940000000000002
apc_propellers_13x4W,Propeller,330.2,1,11.68,apc_propellers_13x4W,101.6,PER3_13x4W.dat,6.35,0.049890000000000004
apc_propellers_16x6E,Propeller,406.4,1,12.95,apc_propellers_16x6E,152.4,PER3_16x6E.dat,6.35,0.05602000000000001
apc_propellers_9_5x7N,Propeller,241.3,1,14.73,apc_propellers_9_5x7N,177.8,PER3_95x7N.dat,6.35,0.02894
apc_propellers_15x6,Propeller,381.0,1,13.46,apc_propellers_15x6,152.4,PER3_15x6.dat,7.94,0.07598
apc_propellers_20x10E,Propeller,508.0,1,12.7,apc_propellers_20x10E,254.0,PER3_20x10E.dat,6.35,0.09598000000000001
apc_propellers_12x4_5MR,Propeller,304.8,1,9.14,apc_propellers_12x4_5MR,114.3,PER3_12x45MR.dat,6.35,0.02214
apc_propellers_4_5x3_5,Propeller,114.3,1,7.62,apc_propellers_4_5x3_5,88.9,PER3_45x35.dat,6.35,0.0039900000000000005
apc_propellers_7x8,Propeller,177.8,1,10.41,apc_propellers_7x8,203.2,PER3_7x8.dat,4.76,0.01306
apc_propellers_18x5_5MRP,Propeller,457.2,-1,10.41,apc_propellers_18x5_5MRP,139.7,PER3_18x55MR.dat,6.35,0.06101
apc_propellers_7_8x7,Propeller,198.12,1,10.16,apc_propellers_7_8x7,177.8,PER3_78x7.dat,6.35,0.01787
apc_propellers_13_5x9,Propeller,342.9,1,13.21,apc_propellers_13_5x9,228.6,PER3_135x9.dat,7.94,0.049030000000000004
apc_propellers_6x4E,Propeller,152.4,1,6.35,apc_propellers_6x4E,101.6,PER3_6x4E.dat,6.35,0.00513
apc_propellers_10x4_6SF,Propeller,254.0,1,5.33,apc_propellers_10x4_6SF,116.84,PER3_10x46SF.dat,6.35,0.007980000000000001
apc_propellers_16x4E,Propeller,406.4,1,12.45,apc_propellers_16x4E,101.6,PER3_16x4E.dat,6.35,0.055020000000000006
apc_propellers_4_2x4,Propeller,106.68,1,7.62,apc_propellers_4_2x4,101.6,PER3_42x4.dat,6.35,0.00313
apc_propellers_15x7E,Propeller,381.0,1,11.94,apc_propellers_15x7E,177.8,PER3_15x7E.dat,6.35,0.045
apc_propellers_16x10,Propeller,406.4,1,19.81,apc_propellers_16x10,254.0,PER3_16x10.dat,7.94,0.10492
apc_propellers_12x11,Propeller,304.8,1,14.22,apc_propellers_12x11,279.4,PER3_12x11.dat,7.94,0.04708
apc_propellers_10x4_7SF,Propeller,254.0,1,7.37,apc_propellers_10x4_7SF,119.38,PER3_10x47SF.dat,6.35,0.01193
apc_propellers_12x10,Propeller,304.8,1,14.48,apc_propellers_12x10,254.0,PER3_12x10.dat,7.94,0.045950000000000005
apc_propellers_11_5x6,Propeller,292.1,1,13.97,apc_propellers_11_5x6,152.4,PER3_115x6.dat,6.35,0.045090000000000005
apc_propellers_9_625x3_75N,Propeller,244.47,1,14.22,apc_propellers_9_625x3_75N,95.25,PER3_9625x375N.dat,6.35,0.03089
apc_propellers_10x6,Propeller,254.0,1,12.7,apc_propellers_10x6,152.4,PER3_10x6.dat,6.35,0.02894
apc_propellers_11x6,Propeller,279.4,1,13.46,apc_propellers_11x6,152.4,PER3_11x6.dat,6.35,0.03996
apc_propellers_14x6E,Propeller,355.6,1,11.43,apc_propellers_14x6E,152.4,PER3_14x6E.dat,6.35,0.03701
apc_propellers_12x8E,Propeller,304.8,1,10.67,apc_propellers_12x8E,203.2,PER3_12x8E.dat,6.35,0.02599
apc_propellers_18x8W,Propeller,457.2,1,14.73,apc_propellers_18x8W,203.2,PER3_18x8W.dat,7.94,0.14288
apc_propellers_14x7,Propeller,355.6,1,17.27,apc_propellers_14x7,177.8,PER3_14x7.dat,7.94,0.07711
apc_propellers_13x10E,Propeller,330.2,1,10.67,apc_propellers_13x10E,254.0,PER3_13x10E.dat,6.35,0.02998
apc_propellers_18_1x10,Propeller,459.74,1,19.56,apc_propellers_18_1x10,254.0,PER3_181x10.dat,7.94,0.13294999999999998
apc_propellers_13_5x14,Propeller,342.9,1,15.49,apc_propellers_13_5x14,355.6,PER3_135x14.dat,7.94,0.0669
apc_propellers_20x8W,Propeller,508.0,1,14.73,apc_propellers_20x8W,203.2,PER3_20x8W.dat,7.94,0.19305000000000003
apc_propellers_8_75x9_0W,Propeller,222.25,1,14.48,apc_propellers_8_75x9_0W,228.6,PER3_875x90W.dat,6.35,0.02608
apc_propellers_20x10,Propeller,508.0,1,18.54,apc_propellers_20x10,254.0,PER3_20x10.dat,7.94,0.18597
apc_propellers_4_75x4_75E,Propeller,120.65,1,7.62,apc_propellers_4_75x4_75E,120.65,PER3_475x475E.dat,6.35,0.0039900000000000005
