Name,Classification,DIAMETER,Direction,HUB_THICKNESS,MODEL,PITCH,Performance_File,SHAFT_DIAMETER,Weight
apc_propellers_11x8,Propeller,279.4,1,13.97,apc_propellers_11x8,203.2,PER3_11x8.dat,6.35,0.041100000000000005
apc_propellers_19x10E,Propeller,482.6,1,12.45,apc_propellers_19x10E,254.0,PER3_19x10E.dat,6.35,0.08301
apc_propellers_20x8,Propeller,508.0,1,17.27,apc_propellers_20x8,203.2,PER3_20x8.dat,7.94,0.18203
apc_propellers_12x5,Propeller,304.8,1,11.94,apc_propellers_12x5,127.0,PER3_12x5.dat,6.35,0.041100000000000005
apc_propellers_13x8,Propeller,330.2,1,12.19,apc_propellers_13x8,203.2,PER3_13x8.dat,6.35,0.049030000000000004
apc_propellers_7_4x7_7C,Propeller,187.96,1,13.21,apc_propellers_7_4x7_7C,195.58,PER3_74x77C.dat,8.33,0.015880000000000002
apc_propellers_11x5_5MR,Propeller,279.4,1,8.89,apc_propellers_11x5_5MR,139.7,PER3_11x55MR.dat,6.35,0.01701
apc_propellers_22x10,Propeller,558.8,1,18.54,apc_propellers_22x10,254.0,PER3_22x10.dat,7.94,0.23387000000000002
apc_propellers_20x10EP,Propeller,508.0,-1,12.7,apc_propellers_20x10EP,254.0,PER3_20x10E.dat,6.35,0.09598000000000001
apc_propellers_15x8E,Propeller,381.0,1,11.94,apc_propellers_15x8E,203.2,PER3_15x8E.dat,6.35,0.044
apc_propellers_9x6_5,Propeller,228.6,1,12.45,apc_propellers_9x6_5,165.1,PER3_9x65.dat,6.35,0.03007
apc_propellers_18x8E,Propeller,457.2,1,12.45,apc_propellers_18x8E,203.2,PER3_18x8E.dat,6.35,0.07298
apc_propellers_8x4_5MR,Propeller,203.2,1,8.38,apc_propellers_8x4_5MR,114.3,PER3_8x45MR.dat,6.35,0.00907
apc_propellers_7x5E,Propeller,177.8,1,8.38,apc_propellers_7x5E,127.0,PER3_7x5E.dat,6.35,0.007980000000000001
apc_propellers_16x14,Propeller,406.4,1,19.56,apc_propellers_16x14,355.6,PER3_16x14.dat,7.94,0.10492
apc_propellers_13_5x10,Propeller,342.9,1,13.21,apc_propellers_13_5x10,254.0,PER3_135x10.dat,7.94,0.05103
apc_propellers_8x5,Propeller,203.2,1,11.43,apc_propellers_8x5,127.0,PER3_8x5.dat,6.35,0.019010000000000003
apc_propellers_8_8x8_5,Propeller,223.52,1,14.73,apc_propellers_8_8x8_5,215.9,PER3_88x85.dat,6.35,0.02495
apc_propellers_10x7,Propeller,254.0,1,12.95,apc_propellers_10x7,177.8,PER3_10x7.dat,6.35,0.03089
apc_propellers_8_75x8_0NN,Propeller,222.25,1,14.73,apc_propellers_8_75x8_0NN,203.2,PER3_875x80NN.dat,6.35,0.02894
apc_propellers_12x12,Propeller,304.8,1,14.73,apc_propellers_12x12,304.8,PER3_12x12.dat,7.94,0.05103
apc_propellers_12_25x3_75,Propeller,311.15,1,10.92,apc_propellers_12_25x3_75,95.25,PER3_1225x375.dat,6.35,0.04309
apc_propellers_4_75x4_5EC,Propeller,120.65,1,7.62,apc_propellers_4_75x4_5EC,114.3,PER3_475x45EC.dat,6.35,0.00313
apc_propellers_7_4x7_5C,Propeller,187.96,1,13.21,apc_propellers_7_4x7_5C,190.5,PER3_74x75C.dat,8.33,0.015880000000000002
apc_propellers_12x8,Propeller,304.8,1,14.22,apc_propellers_12x8,203.2,PER3_12x8.dat,6.35,0.0479
apc_propellers_15x7,Propeller,381.0,1,14.73,apc_propellers_15x7,177.8,PER3_15x7.dat,7.94,0.07711
apc_propellers_8x6EP,Propeller,203.2,-1,9.4,apc_propellers_8x6EP,152.4,PER3_8x6E.dat,6.35,0.01402
apc_propellers_9x4_7SFP,Propeller,228.6,-1,7.87,apc_propellers_9x4_7SFP,119.38,PER3_9x47SF.dat,6.35,0.00907
apc_propellers_15x5_5MR,Propeller,381.0,1,9.14,apc_propellers_15x5_5MR,139.7,PER3_15x55MR.dat,6.35,0.03602
apc_propellers_9x8_5,Propeller,228.6,1,12.45,apc_propellers_9x8_5,215.9,PER3_9x85.dat,6.35,0.03007
apc_propellers_16x8,Propeller,406.4,1,18.29,apc_propellers_16x8,203.2,PER3_16x8.dat,7.94,0.10092000000000001
apc_propellers_8_75x8_5N,Propeller,222.25,1,14.73,apc_propellers_8_75x8_5N,215.9,PER3_875x85N.dat,6.35,0.028079999999999997
apc_propellers_10x4_5MR,Propeller,254.0,1,8.89,apc_propellers_10x4_5MR,114.3,PER3_10x45MR.dat,6.35,0.01501
apc_propellers_12x4,Propeller,304.8,1,11.68,apc_propellers_12x4,101.6,PER3_12x4.dat,6.35,0.03996
apc_propellers_18x12WE,Propeller,457.2,1,13.21,apc_propellers_18x12WE,304.8,PER3_18x12WE.dat,6.35,0.07901999999999999
apc_propellers_7x4E,Propeller,177.8,1,8.38,apc_propellers_7x4E,101.6,PER3_7x4E.dat,6.35,0.007980000000000001
apc_propellers_7x4SF,Propeller,177.8,1,8.13,apc_propellers_7x4SF,101.6,PER3_7x4SF.dat,6.35,0.00513
apc_propellers_20x14,Propeller,508.0,1,21.08,apc_propellers_20x14,355.6,PER3_20x14.dat,7.94,0.19999
apc_propellers_4_5x4_1E,Propeller,114.3,1,7.11,apc_propellers_4_5x4_1E,104.14,PER3_45x41E.dat,6.35,0.0039900000000000005
apc_propellers_11x5,Propeller,279.4,1,13.21,apc_propellers_11x5,127.0,PER3_11x5.dat,6.35,0.03914
apc_propellers_11x12,Propeller,279.4,1,15.24,apc_propellers_11x12,304.8,PER3_11x12.dat,7.94,0.041960000000000004
apc_propellers_7x5,Propeller,177.8,1,9.65,apc_propellers_7x5,127.0,PER3_7x5.dat,4.76,0.01107
apc_propellers_21x12WE,Propeller,533.4,1,14.48,apc_propellers_21x12WE,304.8,PER3_21x12WE.dat,6.35,0.14714
apc_propellers_9x7,Propeller,228.6,1,11.43,apc_propellers_9x7,177.8,PER3_9x7.dat,6.35,0.022949999999999998
apc_propellers_11x9,Propeller,279.4,1,14.73,apc_propellers_11x9,228.6,PER3_11x9.dat,6.35,0.041960000000000004
apc_propellers_14x8_5EP,Propeller,355.6,-1,11.18,apc_propellers_14x8_5EP,215.9,PER3_14x85E.dat,6.35,0.03701
apc_propellers_9x7_5SF,Propeller,228.6,1,8.38,apc_propellers_9x7_5SF,190.5,PER3_9x75SF.dat,6.35,0.00993
apc_propellers_9x6E,Propeller,228.6,1,9.91,apc_propellers_9x6E,152.4,PER3_9x6E.dat,6.35,0.01801
apc_propellers_20x8E,Propeller,508.0,1,12.45,apc_propellers_20x8E,203.2,PER3_20x8E.dat,6.35,0.09598000000000001
apc_propellers_14x12N,Propeller,355.6,1,15.75,apc_propellers_14x12N,304.8,PER3_14x12N.dat,7.94,0.067
apc_propellers_15x6E,Propeller,381.0,1,11.94,apc_propellers_15x6E,152.4,PER3_15x6E.dat,6.35,0.045
apc_propellers_11x4_5MRP,Propeller,279.4,-1,8.89,apc_propellers_11x4_5MRP,114.3,PER3_11x45MR.dat,6.35,0.01701
apc_propellers_5x7_5E,Propeller,127.0,1,7.11,apc_propellers_5x7_5E,190.5,PER3_5x75E.dat,5.0,0.0049900000000000005
apc_propellers_26x15E,Propeller,660.4,1,15.24,apc_propellers_26x15E,381.0,PER3_26x15E.dat,7.94,0.214
apc_propellers_15x4E,Propeller,381.0,1,11.43,apc_propellers_15x4E,101.6,PER3_15x4E.dat,6.35,0.045
apc_propellers_4_75x4_5E,Propeller,120.65,1,7.62,apc_propellers_4_75x4_5E,114.3,PER3_475x45E.dat,6.35,0.0039900000000000005
apc_propellers_10x9,Propeller,254.0,1,12.95,apc_propellers_10x9,228.6,PER3_10x9.dat,6.35,0.03289
apc_propellers_8_75x7_75NN,Propeller,222.25,1,14.48,apc_propellers_8_75x7_75NN,196.85,PER3_875x775NN.dat,6.35,0.02495
apc_propellers_20x12WE,Propeller,508.0,1,14.73,apc_propellers_20x12WE,304.8,PER3_20x12WE.dat,6.35,0.131
apc_propellers_7x4EP,Propeller,177.8,-1,8.38,apc_propellers_7x4EP,101.6,PER3_7x4E.dat,6.35,0.007980000000000001
apc_propellers_18x12,Propeller,457.2,1,17.53,apc_propellers_18x12,304.8,PER3_18x12.dat,7.94,0.14488
apc_propellers_9x4_5R_RH,Propeller,228.6,1,8.64,apc_propellers_9x4_5R-RH,114.3,PER3_9x45R-RH.dat,6.35,0.02604
apc_propellers_16x16,Propeller,406.4,1,19.05,apc_propellers_16x16,406.4,PER3_16x16.dat,7.94,0.10405
apc_propellers_9x3_8SFP,Propeller,228.6,-1,8.38,apc_propellers_9x3_8SFP,96.52,PER3_9x38SF.dat,6.35,0.00907
apc_propellers_9x4_5MRP,Propeller,228.6,-1,8.64,apc_propellers_9x4_5MRP,114.3,PER3_9x45MR.dat,6.35,0.01107
apc_propellers_13x4_5MRP,Propeller,330.2,-1,9.14,apc_propellers_13x4_5MRP,114.3,PER3_13x45MR.dat,6.35,0.02409
apc_propellers_7_8x6,Propeller,198.12,1,10.16,apc_propellers_7_8x6,152.4,PER3_78x6.dat,6.35,0.01787
apc_propellers_7x6E,Propeller,177.8,1,8.38,apc_propellers_7x6E,152.4,PER3_7x6E.dat,6.35,0.007980000000000001
apc_propellers_7_4x7_6C,Propeller,187.96,1,13.21,apc_propellers_7_4x7_6C,193.04,PER3_74x76C.dat,8.33,0.015880000000000002
apc_propellers_17x7E,Propeller,431.8,1,11.94,apc_propellers_17x7E,177.8,PER3_17x7E.dat,6.35,0.064
apc_propellers_9x6EP,Propeller,228.6,-1,9.91,apc_propellers_9x6EP,152.4,PER3_9x6E.dat,6.35,0.01801
apc_propellers_9_25x6_0,Propeller,234.95,1,10.41,apc_propellers_9_25x6_0,152.4,PER3_925x60.dat,6.35,0.01701
apc_propellers_9x4_1SF,Propeller,228.6,1,4.06,apc_propellers_9x4_1SF,104.14,PER3_9x41SF.dat,5.5,0.0049900000000000005
apc_propellers_7x10,Propeller,177.8,1,10.41,apc_propellers_7x10,254.0,PER3_7x10.dat,4.76,0.01306
apc_propellers_9x9E,Propeller,228.6,1,10.16,apc_propellers_9x9E,228.6,PER3_9x9E.dat,6.35,0.01801
apc_propellers_12x3_8SFP,Propeller,304.8,-1,7.62,apc_propellers_12x3_8SFP,96.52,PER3_12x38SF.dat,6.35,0.01787
apc_propellers_20x11E,Propeller,508.0,1,12.7,apc_propellers_20x11E,279.4,PER3_20x11E.dat,6.35,0.09902
apc_propellers_10x5,Propeller,254.0,1,12.19,apc_propellers_10x5,127.0,PER3_10x5.dat,6.35,0.028079999999999997
apc_propellers_8_75x9_25NN,Propeller,222.25,1,14.48,apc_propellers_8_75x9_25NN,234.95,PER3_875x925NN.dat,6.35,0.02495
apc_propellers_14x12,Propeller,355.6,1,17.02,apc_propellers_14x12,304.8,PER3_14x12.dat,7.94,0.07711
apc_propellers_10x4_7SFP,Propeller,254.0,-1,7.37,apc_propellers_10x4_7SFP,119.38,PER3_10x47SF.dat,6.35,0.01193
apc_propellers_10x7EP,Propeller,254.0,-1,10.16,apc_propellers_10x7EP,177.8,PER3_10x7E.dat,6.35,0.02
apc_propellers_11x3_8SF,Propeller,279.4,1,7.87,apc_propellers_11x3_8SF,96.52,PER3_11x38SF.dat,6.35,0.01501
apc_propellers_15x10,Propeller,381.0,1,18.03,apc_propellers_15x10,254.0,PER3_15x10.dat,7.94,0.08986
apc_propellers_11x12E,Propeller,279.4,1,11.18,apc_propellers_11x12E,304.8,PER3_11x12E.dat,6.35,0.02599
apc_propellers_22x10E,Propeller,558.8,1,13.46,apc_propellers_22x10E,254.0,PER3_22x10E.dat,7.94,0.13399000000000003
apc_propellers_13x4_7SFP,Propeller,330.2,-1,7.62,apc_propellers_13x4_7SFP,119.38,PER3_13x47SF.dat,6.35,0.02214
apc_propellers_14x13_5,Propeller,355.6,1,16.0,apc_propellers_14x13_5,342.9,PER3_14x135.dat,7.94,0.07003000000000001
apc_propellers_15x11,Propeller,381.0,1,18.03,apc_propellers_15x11,279.4,PER3_15x11.dat,7.94,0.09099
apc_propellers_8x4_7SFP,Propeller,203.2,-1,7.62,apc_propellers_8x4_7SFP,119.38,PER3_8x47SF.dat,6.35,0.00708
apc_propellers_8_75x7_5N,Propeller,222.25,1,14.73,apc_propellers_8_75x7_5N,190.5,PER3_875x75N.dat,6.35,0.028079999999999997
