Name,ADAPTER_DIAMETER,ADAPTER_LENGTH,CAN_DIAMETER,CAN_LENGTH,COST,COST_ADAPTER,Classification,ESC/BEC Class,INTERNAL_RESISTANCE,IO_IDLE_CURRENT@10V,KM,KT,KV,LENGTH,MAX_CURRENT,MAX_POWER,MODEL,Max # of Cells,Min # of Cells,PROP_PITCH_REC.,PROP_SIZE_REC.,Poles,SHAFT_DIAMETER,TOTAL_LENGTH,WEIGHT,para_CONTROL_CHANNEL_[]AssignedValue
t_motor_AT2308KV2600,6,23,28.8,8.0,29.99,,Motor,3.0,28.0,1.8,0.02194921630389469,0.003672806379043739,2600.0,26.0,28.0,300.0,AT2308KV2600,4.0,2.0,"4,6","5,7",12N14P,4.0,40.5,0.048,1
t_motor_MN22041400KV,,,27.0,4.0,25.9,,Motor,2.0,290.0,0.3,0.01266614184857098,0.006820926132509801,1400.0,12.0,8.0,88.0,MN22041400KV,3.0,2.0,"2,3","5,8",12N14P,2.0,26,0.023,1
t_motor_MN5212KV420,6,31.5,59.0,12.0,109.9,,Motor,2.0,69.0,1.1,0.08655607334761847,0.022736420441699334,420.0,33.5,60.0,1440.0,MN5212KV420,8.0,4.0,"5,7","14,18",24N22P,4.0,42.5,0.249,1
t_motor_MN3510KV700,6,26,41.8,10.0,79.9,,Motor,2.0,50.0,0.5,0.06100821800718661,0.013641852265019601,700.0,29.0,25.0,555.0,MN3510KV700,4.0,3.0,"3,5","11,14",12N14P,4.0,37.1,0.11800000000000001,1
kde_direct_KDE2814XF_775,6,15,35.5,14.0,71.95,,Motor,1.0,69.0,0.5,0.0469,0.0123,775.0,31.7,36.0,666.0,KDE2814XF_775,5.0,3.0,"3,6","12,16",12S14P,4.0,41.45,0.125,1
t_motor_AT2308KV1450,6,23,28.8,8.0,29.99,,Motor,3.0,90.0,0.8,0.021952405943709705,0.006585721783112911,1450.0,26.0,23.0,250.0,AT2308KV1450,4.0,2.0,"4,7","6,9",12N14P,4.0,40.5,0.047,1
t_motor_AS2317KV1400,"5,6","24,28",29.4,17.0,21.95,,Motor,3.0,35.2,1.68,0.03635565844149482,0.006820926132509801,1400.0,36.0,48.0,712.0,AS2317KV1400,4.0,3.0,"5,7","8,10",12N14P,4.0,52.0,0.081,1
kde_direct_KDE4014XF_380,"6,8","20,20",46.5,14.0,118.95,19.95,Motor,1.0,75.0,0.5,0.0918,0.0251,380.0,32.0,36.0,1065.0,KDE4014XF_380,8.0,4.0,"4,8","16,22",18S24P,5.0,41.75,0.215,1
t_motor_AT2321KV1250,6,23,28.8,21.0,44.99,,Motor,3.0,38.0,1.8,0.039189486297511025,0.007639437268410976,1250.0,40.0,45.0,700.0,AT2321KV1250,4.0,2.0,"4,7","8,11",12N14P,4.0,56.0,0.094,1
t_motor_MN4012KV340,"6,8","31.5,31.5",44.7,12.0,92.9,,Motor,2.0,133.0,0.9,0.07701346160134363,0.02808616642798153,340.0,33.0,22.0,660.0,MN4012KV340,8.0,4.0,"4,6","13,17",18N24P,4.0,40.9,0.155,1
t_motor_AS2308KV2600,"5,6","24,28",29.4,8.0,18.99,,Motor,3.0,30.0,1.62,0.021204957516222773,0.003672806379043739,2600.0,26.0,29.0,326.0,AS2308KV2600,4.0,2.0,"3,6","4,8",12N14P,4.0,40.5,0.049,1
t_motor_AS2814KV1050,6,30,36.2,14.0,33.99,,Motor,3.0,34.6,1.35,0.048892701418832354,0.009094568176679734,1050.0,36.0,49.0,718.0,AS2814KV1050,4.0,3.0,"4,7","9,14",12N14P,5.0,54.5,0.112,1
t_motor_AS2820KV1050,6,30,36.2,20.0,34.0,,Motor,3.0,23.2,2.6,0.059708765283968346,0.009094568176679734,1050.0,42.0,67.0,963.0,AS2820KV1050,4.0,3.0,"5,8","10,13",12N14P,5.0,62.2,0.14400000000000002,1
kde_direct_KDE4213XF_360,"6,8","20,20",48.2,13.0,133.95,19.95,Motor,1.0,81.0,0.4,0.0932,0.0265,360.0,34.0,38.0,1124.0,KDE4213XF_360,8.0,4.0,"4,8","16,22",18S24P,6.0,44.0,0.23,1
t_motor_AT2826KV1100,"6,8","30,36",35.2,26.0,69.99,,Motor,3.0,110.0,2.9,0.02617473866609172,0.008681178714103382,1100.0,49.0,59.0,900.0,AT2826KV1100,4.0,3.0,"5,8","12,15",12N14P,5.0,69.5,0.17500000000000002,1
t_motor_MN3508KV580,6,26,41.8,8.0,69.9,,Motor,2.0,110.0,0.4,0.04964174574603602,0.016464304457782276,580.0,27.0,18.0,400.0,MN3508KV580,4.0,3.0,"4,5","12,15",12N14P,4.0,35.1,0.10300000000000001,1
kde_direct_KDE3510XF_715,"6,8","17,17",42.2,10.0,92.95,,Motor,1.0,54.0,0.5,0.0575,0.0134,715.0,35.0,45.0,832.0,KDE3510XF_715,5.0,3.0,"4,6","12,16",12S14P,5.0,44.75,0.17500000000000002,1
t_motor_AT4120KV250,"8,10","35,40",50.0,20.0,109.99,,Motor,3.0,76.0,1.0,0.13855575756093666,0.038197186342054885,250.0,45.0,45.0,2100.0,AT4120KV250,12.0,6.0,"6,10","14,18",12N14P,6.0,69.0,0.304,1
kde_direct_KDE3520XF_400,"6,8","17,17",42.2,20.0,112.95,15.95,Motor,1.0,78.0,0.3,0.0855,0.0239,400.0,45.0,45.0,1332.0,KDE3520XF_400,8.0,4.0,"4,8","16,20",12S14P,5.0,54.25,0.245,1
t_motor_MN5208KV340,6,31.5,59.0,8.0,99.9,,Motor,2.0,93.0,0.9,0.09209816785799094,0.02808616642798153,340.0,29.5,35.0,850.0,MN5208KV340,6.0,4.0,"4,7","14,18",24N22P,4.0,38.5,0.196,1
t_motor_AT2317KV880,6,23,28.8,17.0,39.99,,Motor,3.0,82.0,0.9,0.03789498885574869,0.010851473392629226,880.0,36.0,25.0,350.0,AT2317KV880,4.0,2.0,"4,8","9,14",12N14P,4.0,52.0,0.079,1
t_motor_MN3515KV400,6,31.5,42.5,15.0,96.9,,Motor,2.0,116.0,0.3,0.07009425046445468,0.0238732414637843,400.0,34.0,30.0,900.0,MN3515KV400,8.0,4.0,"3,6","12,17",12N14P,4.0,43.0,0.183,1
t_motor_AS2814KV1200,6,30,36.2,14.0,33.99,,Motor,3.0,25.2,2.21,0.05012909516045148,0.007957747154594767,1200.0,36.0,61.0,885.0,AS2814KV1200,4.0,3.0,"4,7","8,12",12N14P,5.0,54.5,0.112,1
t_motor_MN5212KV340,6,31.5,59.0,12.0,109.9,,Motor,2.0,69.0,1.1,0.10692220825294046,0.02808616642798153,340.0,33.5,35.0,840.0,MN5212KV340,8.0,4.0,"5,7","14,19",24N22P,4.0,42.5,0.249,1
t_motor_MN2212KV920,5,24,24.0,12.0,46.9,,Motor,2.0,142.0,0.5,0.02754478472337756,0.010379670201645347,920.0,16.0,15.0,220.0,MN2212KV920,4.0,2.0,"2,3","7,9",9N12P,4.0,32.6,0.065,1
t_motor_AS2317KV880,"5,6","24,28",29.4,17.0,21.95,,Motor,3.0,80.0,0.74,0.03836575210896759,0.010851473392629226,880.0,36.0,26.0,394.0,AS2317KV880,4.0,3.0,"5,8","9,13",12N14P,4.0,52.0,0.081,1
