Battery_Weight,Battery_Capacity,Motor_Weight,Propeller_Weight,MV_omega_rad,MV_omega_RPM,MV_Voltage,MV_Thrust,MV_Torque,MV_Power,MV_Current,MV_Efficiency,MP_omega_rad,MP_omega_RPM,MP_Voltage,MP_Thrust,MP_Torque,MP_Power,MP_Current,MP_Efficiency,MC_omega_rad,MC_omega_RPM,MC_Voltage,MC_Thrust,MC_Torque,MC_Power,MC_Current,MC_Efficiency,MaxPower,MaxCur,PeakCur,ContCur,Aircraft_Weight,Aircraft_Thrust,Aircraft_Thrust2Weight,Aircraft_FlightTime,Battery,Motor,Propeller
0.109,2000.0,0.119,0.02399,398.36,3804.05,6.6,5.25,0.12,60.05,9.1,86.2,767.09,7325.17,13.94,23.2,0.53,521.05,37.39,82.26,637.9,6091.5,11.1,17.75,0.33,257.03,23.16,85.14,495.0,22.0,80.0,40.0,1.0281924,21.0,20.424194,43.956043,Turnigynano-tech2000mAh2040C,t_motor_MN3510KV630,apc_propellers_13x5_5MR
0.109,2000.0,0.119,0.00907,421.42,4024.27,6.6,2.0,0.04,22.69,3.44,81.97,1156.53,11044.09,19.21,17.81,0.38,521.05,27.13,89.51,1083.37,10345.39,17.85,14.97,0.33,413.4,23.16,89.9,495.0,22.0,80.0,40.0,0.96851236,8.0,8.260091,116.27907,Turnigynano-tech2000mAh2040C,t_motor_MN3510KV630,apc_propellers_9x4_7SF
0.109,2000.0,0.119,0.01701,415.57,3968.37,6.6,3.07,0.06,32.17,4.87,85.13,1024.95,9787.51,17.39,19.46,0.42,521.05,29.97,87.79,921.97,8804.12,15.4,15.76,0.33,356.74,23.16,88.66,495.0,22.0,80.0,40.0,1.0002724,12.28,12.276656,82.13552,Turnigynano-tech2000mAh2040C,t_motor_MN3510KV630,apc_propellers_11x4_5MR
0.109,2000.0,0.119,0.00513,431.61,4121.61,6.6,0.34,0.01,6.17,0.94,43.35,2532.44,24183.02,39.21,12.34,0.18,521.05,13.29,94.03,2761.41,26369.5,43.29,14.39,0.33,1002.42,23.16,94.5,495.0,22.0,80.0,40.0,0.95275235,1.36,1.4274434,425.53192,Turnigynano-tech2000mAh2040C,t_motor_MN3510KV630,apc_propellers_6x6E
0.109,2000.0,0.119,0.01107,425.03,4058.72,6.6,1.61,0.03,16.84,2.55,77.48,1320.12,12606.18,21.51,16.5,0.34,521.05,24.23,91.02,1300.11,12415.13,21.14,16.49,0.33,489.48,23.16,91.12,495.0,22.0,80.0,40.0,0.9765124,6.44,6.5948987,156.86275,Turnigynano-tech2000mAh2040C,t_motor_MN3510KV630,apc_propellers_9x4_5MR
0.109,2000.0,0.119,0.03007,388.57,3710.54,6.6,6.51,0.16,75.91,11.5,85.16,693.46,6622.07,12.99,23.15,0.57,521.05,40.12,79.87,551.29,5264.47,9.79,16.99,0.33,226.63,23.16,83.45,495.0,22.0,80.0,40.0,1.0525124,26.04,24.740803,34.782608,Turnigynano-tech2000mAh2040C,t_motor_MN3510KV630,apc_propellers_14x5_5MR
0.109,2000.0,0.119,0.02409,403.17,3849.99,6.6,4.86,0.11,52.25,7.92,86.44,847.31,8091.2,14.99,26.54,0.49,521.05,34.76,84.38,703.84,6721.21,12.1,16.07,0.33,280.18,23.16,86.18,495.0,22.0,80.0,40.0,1.0285923,19.44,18.899616,50.50505,Turnigynano-tech2000mAh2040C,t_motor_MN3510KV630,apc_propellers_13x4_5MR
0.109,2000.0,0.119,0.01501,408.0,3896.08,6.6,3.84,0.09,44.44,6.73,86.38,902.67,8619.84,15.73,20.5,0.47,521.05,33.13,85.61,764.69,7302.22,13.02,16.21,0.33,301.53,23.16,86.99,495.0,22.0,80.0,40.0,0.9922724,15.36,15.479621,59.435364,Turnigynano-tech2000mAh2040C,t_motor_MN3510KV630,apc_propellers_11x4_7SF
0.109,2000.0,0.119,0.02214,405.1,3868.39,6.6,4.33,0.1,49.13,7.44,86.46,829.61,7922.22,14.76,18.54,0.5,521.05,35.31,83.95,709.07,6771.1,12.18,14.19,0.33,282.01,23.16,86.25,495.0,22.0,80.0,40.0,1.0207924,17.32,16.96721,53.76344,Turnigynano-tech2000mAh2040C,t_motor_MN3510KV630,apc_propellers_12x5_5MR
0.109,2000.0,0.119,0.01701,412.73,3941.31,6.6,3.28,0.07,36.76,5.57,85.83,936.84,8946.17,16.19,17.11,0.46,521.05,32.19,86.29,837.76,8000.04,14.13,17.1,0.33,327.19,23.16,87.84,495.0,22.0,80.0,40.0,1.0002724,13.12,13.116427,71.813286,Turnigynano-tech2000mAh2040C,t_motor_MN3510KV630,apc_propellers_11x5_5MR
0.109,2000.0,0.119,0.00907,428.24,4089.4,6.6,1.05,0.02,11.64,1.76,69.0,1564.91,14943.75,25.01,14.14,0.29,521.05,20.84,92.46,1614.24,15414.83,25.9,16.09,0.33,599.74,23.16,92.33,495.0,22.0,80.0,40.0,0.96851236,4.2,4.336548,227.27272,Turnigynano-tech2000mAh2040C,t_motor_MN3510KV630,apc_propellers_8x4_5MR
0.109,2000.0,0.119,0.00798,429.95,4105.75,6.6,0.68,0.01,8.86,1.34,60.05,1815.73,17338.92,28.65,13.1,0.25,521.05,18.19,93.3,1926.51,18396.78,30.63,14.6,0.33,709.36,23.16,93.16,495.0,22.0,80.0,40.0,0.96415234,2.72,2.821131,298.50748,Turnigynano-tech2000mAh2040C,t_motor_MN3510KV630,apc_propellers_7x5E
0.109,2000.0,0.119,0.03602,376.44,3594.78,6.6,7.95,0.2,95.55,14.48,83.31,625.21,5970.33,12.13,22.16,0.61,521.05,42.96,77.17,475.34,4539.19,8.64,15.37,0.33,199.97,23.16,81.54,495.0,22.0,80.0,40.0,1.0763123,31.8,29.545326,27.62431,Turnigynano-tech2000mAh2040C,t_motor_MN3510KV630,apc_propellers_15x5_5MR
0.109,2000.0,0.119,0.01501,420.58,4016.22,6.6,2.31,0.04,24.05,3.64,82.64,1143.91,10923.55,19.03,17.35,0.39,521.05,27.38,89.36,1072.97,10246.1,17.69,17.33,0.33,409.75,23.16,89.83,495.0,22.0,80.0,40.0,0.9922724,9.24,9.311959,109.89011,Turnigynano-tech2000mAh2040C,t_motor_MN3510KV630,apc_propellers_10x4_5MR
0.109,2000.0,0.119,0.00798,430.47,4110.65,6.6,0.65,0.01,8.03,1.22,56.11,1925.04,18382.79,30.24,13.88,0.24,521.05,17.23,93.53,2107.09,20121.21,33.37,16.95,0.33,772.74,23.16,93.54,495.0,22.0,80.0,40.0,0.96415234,2.6,2.6966693,327.86887,Turnigynano-tech2000mAh2040C,t_motor_MN3510KV630,apc_propellers_7x4E
0.109,2000.0,0.119,0.00513,430.3,4109.1,6.6,0.66,0.01,8.3,1.26,57.45,1881.68,17968.68,29.61,12.77,0.25,521.05,17.6,93.45,2039.24,19473.27,32.34,15.72,0.33,748.93,23.16,93.41,495.0,22.0,80.0,40.0,0.95275235,2.64,2.7709193,317.46033,Turnigynano-tech2000mAh2040C,t_motor_MN3510KV630,apc_propellers_7x4SF
0.109,2000.0,0.119,0.00499,432.36,4128.7,6.6,0.21,0.0,4.97,0.75,29.91,3055.29,29175.9,47.0,10.93,0.15,521.05,11.09,93.87,3513.75,33553.81,54.69,14.04,0.33,1266.51,23.16,95.17,495.0,22.0,80.0,40.0,0.95219237,0.84,0.8821747,533.3333,Turnigynano-tech2000mAh2040C,t_motor_MN3510KV630,apc_propellers_5x7_5E
0.109,2000.0,0.119,0.045,398.09,3801.45,6.6,5.73,0.12,60.49,9.17,86.17,814.46,7777.53,14.56,25.38,0.51,521.05,35.8,83.57,658.03,6283.76,11.4,19.4,0.33,264.1,23.16,85.47,495.0,22.0,80.0,40.0,1.1122323,22.92,20.607204,43.620502,Turnigynano-tech2000mAh2040C,t_motor_MN3510KV630,apc_propellers_15x4E
0.109,2000.0,0.119,0.00798,429.53,4101.68,6.6,0.69,0.01,9.56,1.45,62.79,1757.92,16786.93,27.8,11.9,0.26,521.05,18.74,93.15,1836.09,17533.32,29.26,13.34,0.33,677.62,23.16,92.95,495.0,22.0,80.0,40.0,0.96415234,2.76,2.8626182,275.86206,Turnigynano-tech2000mAh2040C,t_motor_MN3510KV630,apc_propellers_7x6E
0.109,2000.0,0.119,0.01501,411.51,3929.67,6.6,3.5,0.08,38.74,5.87,86.03,983.07,9387.58,16.81,22.75,0.44,521.05,30.99,87.11,851.96,8135.65,14.34,18.47,0.33,332.17,23.16,87.98,495.0,22.0,80.0,40.0,0.9922724,14.0,14.10903,68.1431,Turnigynano-tech2000mAh2040C,t_motor_MN3510KV630,apc_propellers_11x3_8SF
0.109,2000.0,0.049,0.02495,436.03,4163.78,6.6,10.08,0.27,294.35,44.6,42.75,433.95,4143.93,6.55,14.54,0.27,289.47,44.18,42.85,324.62,3099.94,4.25,9.31,0.15,107.37,25.26,48.75,275.0,24.0,80.0,40.0,0.75203234,40.32,53.614716,8.96861,Turnigynano-tech2000mAh2040C,t_motor_AS2308KV1450,apc_propellers_14x4_7SF
0.109,2000.0,0.049,0.00313,974.76,9308.29,6.6,0.79,0.01,14.25,2.16,62.17,2976.09,28419.58,20.77,7.67,0.08,289.47,13.94,89.11,3777.24,36069.95,26.99,17.66,0.15,681.8,25.26,89.33,275.0,24.0,80.0,40.0,0.66475236,3.16,4.7536497,185.18518,Turnigynano-tech2000mAh2040C,t_motor_AS2308KV1450,apc_propellers_5x3E
0.109,2000.0,0.049,0.02214,480.62,4589.59,6.6,9.58,0.25,271.17,41.09,47.05,489.59,4675.24,6.79,11.37,0.26,289.47,42.64,46.63,374.74,3578.54,4.58,7.28,0.15,115.7,25.26,52.22,275.0,24.0,80.0,40.0,0.74079233,38.32,51.728397,9.734729,Turnigynano-tech2000mAh2040C,t_motor_AS2308KV1450,apc_propellers_13x4_7SF
0.109,2000.0,0.049,0.01193,696.3,6649.15,6.6,7.18,0.15,159.03,24.1,67.23,831.61,7941.33,8.37,10.4,0.21,289.47,34.59,63.97,712.87,6807.44,6.81,7.96,0.15,171.96,25.26,66.85,275.0,24.0,80.0,40.0,0.69995236,28.72,41.031364,16.597511,Turnigynano-tech2000mAh2040C,t_motor_AS2308KV1450,apc_propellers_10x3_8SF
